NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),VARIATION SKUs (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No),PRODUCT LOCATIONS
Eyephen 0.50%,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,34.00,,34.00,,,,0,,,,,,,Chloramphenicol (Ophthalmic),0.50%,,,0,
Eyemox-D 0.5%+0.1%,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,200.00,,200.00,,,,0,,,,,,,Moxifloxacin Hydrochloride + Dexamethasone,0.5%+0.1%,,,0,
Eyemox 0.50%,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,100.68,,100.68,,,,0,,,,,,,Moxifloxacin Hydrochloride (Ophthalmic),0.50%,,,0,
Eyemist 0.25%+0.3%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,200.00,,200.00,,,,0,,,,,,,Carboxymethylcellulose Sodium + Hypromellose,0.25%+0.3%,,,0,
Eyelia 0.03%,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,115.00,,115.00,,,,0,,,,,,,Brimonidine Tartrate,0.03%,,,0,
Eyefresh 0.30%,Opso Saline Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.26,,70.26,,,,0,,,,,,,Hypromellose,0.30%,,,0,
Eyefen 0.09%,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,100.30,,100.30,,,,0,,,,,,,Bromfenac Sodium,0.09%,,,0,
Eyedew 0.5%+0.9%,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,190.00,,190.00,,,,0,,,,,,,Carboxymethylcellulose Sodium + Glycerin,0.5%+0.9%,,,0,
Eyecaf 0.25%,Opsonin Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,400.00,,400.00,,,,0,,,,,,,Alcaftadine,0.25%,,,0,
Eyebrom 0.09%,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,100.00,,100.00,,,,0,,,,,,,Bromfenac Sodium,0.09%,,,0,
