NAME,BRAND,UNIT,CATEGORY,SUB-CATEGORY,SKU (Leave blank to auto generate sku),BARCODE TYPE,MANAGE STOCK (1=yes 0=No),ALERT QUANTITY,EXPIRES IN,EXPIRY PERIOD UNIT (months/days),APPLICABLE TAX,Selling Price Tax Type (inclusive or exclusive),PRODUCT TYPE (single or variable),VARIATION NAME (Keep blank if product type is single),VARIATION VALUES (| seperated values & blank if product type if single),VARIATION SKUs (| seperated values & blank if product type if single),PURCHASE PRICE (Including tax),PURCHASE PRICE (Excluding tax),PROFIT MARGIN,SELLING PRICE,OPENING STOCK,LOCATION,EXPIRY DATE,ENABLE IMEI OR SERIAL NUMBER(1=yes 0=No),WEIGHT,RACK,ROW,POSITION,IMAGE,PRODUCT DESCRIPTION,CUSTOM FIELD 1,CUSTOM FIELD 2,CUSTOM FIELD 3,CUSTOM FIELD 4,NOT FOR SELLING(1=yes 0=No),PRODUCT LOCATIONS
Seroxyn (25 mcg+125 mcg)/puff,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,596.79,,596.79,,,,0,,,,,,,Salmeterol + Fluticasone Propionate,(25 mcg+125 mcg)/puff,,,0,
Seroxyn (25 mcg+50 mcg)/puff,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,520.00,,520.00,,,,0,,,,,,,Salmeterol + Fluticasone Propionate,(25 mcg+50 mcg)/puff,,,0,
Seroxyn 50 mcg+500 mcg,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.05,,15.05,,,,0,,,,,,,Salmeterol + Fluticasone Propionate,50 mcg+500 mcg,,,0,
Serviflox 250 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.08,,8.08,,,,0,,,,,,,Ciprofloxacin,250 mg,,,0,
Serviflox 500 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,14.05,,14.05,,,,0,,,,,,,Ciprofloxacin,500 mg,,,0,
Seroxyn 50 mcg+250 mcg,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,12.00,,12.00,,,,0,,,,,,,Salmeterol + Fluticasone Propionate,50 mcg+250 mcg,,,0,
Seroxyn 50 mcg+100 mcg,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.50,,5.50,,,,0,,,,,,,Salmeterol + Fluticasone Propionate,50 mcg+100 mcg,,,0,
Serotal 5 mg,Globe Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.50,,5.50,,,,0,,,,,,,Escitalopram Oxalate,5 mg,,,0,
Serotal 10 mg,Globe Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Escitalopram Oxalate,10 mg,,,0,
Seroset 8 mg/4 ml,Globex Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,25.00,,25.00,,,,0,,,,,,,Ondansetron,8 mg/4 ml,,,0,
Seroset 8 mg,Globex Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,7.00,,7.00,,,,0,,,,,,,Ondansetron,8 mg,,,0,
Seroquet ER 50 mg,UniMed UniHealth,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Quetiapine Fumarate,50 mg,,,0,
Seroquet ER 200 mg,UniMed UniHealth,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,20.00,,20.00,,,,0,,,,,,,Quetiapine Fumarate,200 mg,,,0,
Seroquet 100 mg,UniMed UniHealth,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Quetiapine Fumarate,100 mg,,,0,
Seroquet 25 mg,UniMed UniHealth,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,3.00,,3.00,,,,0,,,,,,,Quetiapine Fumarate,25 mg,,,0,
Seropin 25 mg,Eskayef Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,3.00,,3.00,,,,0,,,,,,,Quetiapine Fumarate,25 mg,,,0,
Seropin 100 mg,Eskayef Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Quetiapine Fumarate,100 mg,,,0,
Sevel 800 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,60.00,,60.00,,,,0,,,,,,,Sevelamer Carbonate,800 mg,,,0,
Setronax 8 mg,Monicopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Ondansetron,8 mg,,,0,
Setra 100 mg,General Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,11.00,,11.00,,,,0,,,,,,,Sertraline Hydrochloride,100 mg,,,0,
Setra 50 mg,General Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,7.00,,7.00,,,,0,,,,,,,Sertraline Hydrochloride,50 mg,,,0,
Setra 25 mg,General Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,3.50,,3.50,,,,0,,,,,,,Sertraline Hydrochloride,25 mg,,,0,
Setorib 120 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,14.10,,14.10,,,,0,,,,,,,Etoricoxib,120 mg,,,0,
Setorib 90 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,12.09,,12.09,,,,0,,,,,,,Etoricoxib,90 mg,,,0,
Setorib 60 mg,ACME Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,7.04,,7.04,,,,0,,,,,,,Etoricoxib,60 mg,,,0,
Seton 8 mg,Delta Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Ondansetron,8 mg,,,0,
Setir 10 mg,Amulet Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.00,,2.00,,,,0,,,,,,,Cetirizine Hydrochloride,10 mg,,,0,
Setic 100 mg/5 ml,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,210.00,,210.00,,,,0,,,,,,,Cefixime Trihydrate,100 mg/5 ml,,,0,
Setic 400 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,55.25,,55.25,,,,0,,,,,,,Cefixime Trihydrate,400 mg,,,0,
Setic 200 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,35.25,,35.25,,,,0,,,,,,,Cefixime Trihydrate,200 mg,,,0,
Setfree 1.5 mg,Nuvista Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,65.00,,65.00,,,,0,,,,,,,Levonorgestrel,1.5 mg,,,0,
Sesofen 1 mg,Rangs Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.50,,2.50,,,,0,,,,,,,Ketotifen Fumarate (Oral),1 mg,,,0,
Sesofen 1 mg/5 ml,Rangs Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,55.00,,55.00,,,,0,,,,,,,Ketotifen Fumarate (Oral),1 mg/5 ml,,,0,
Sevorane 250 mg/250 ml,Abbott Laboratories,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15500.00,,15500.00,,,,0,,,,,,,Sevoflurane,250 mg/250 ml,,,0,
Sevoran 250 mg/250 ml,Techno Drugs Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,12000.00,,12000.00,,,,0,,,,,,,Sevoflurane,250 mg/250 ml,,,0,
Sevitan HTZ 20 mg+12.5 mg,Radiant Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.50,,10.50,,,,0,,,,,,,Olmesartan Medoxomil + Hydrochlorothiazide,20 mg+12.5 mg,,,0,
Sevitan 40 mg,Radiant Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,18.00,,18.00,,,,0,,,,,,,Olmesartan Medoxomil,40 mg,,,0,
Sevitan 20 mg,Radiant Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Olmesartan Medoxomil,20 mg,,,0,
Sevirax 3%,Gaco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.21,,70.21,,,,0,,,,,,,Acyclovir (Ophthalmic),3%,,,0,
Sevenvit,Pharmadesh Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,80.00,,80.00,,,,0,,,,,,,Multivitamin & Cod Liver Oil,,,,0,
Sevelax (300 mg+1.25 ml)/5 ml,Pacific Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,95.00,,95.00,,,,0,,,,,,,Magnesium Hydroxide + Liquid Paraffin,(300 mg+1.25 ml)/5 ml,,,0,
Servizol 400 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1.13,,1.13,,,,0,,,,,,,Metronidazole,400 mg,,,0,
Serviprofen 400 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1.42,,1.42,,,,0,,,,,,,Ibuprofen,400 mg,,,0,
Servipep 40 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.10,,6.10,,,,0,,,,,,,Famotidine,40 mg,,,0,
Servipep 20 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Famotidine,20 mg,,,0,
Servinaprox 500 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,12.10,,12.10,,,,0,,,,,,,Naproxen Sodium,500 mg,,,0,
Servinaprox 250 mg,SANDOZ (A Novartis Division),pcs,allopathic,,,,1,,,,,exclusive,single,,,,,7.00,,7.00,,,,0,,,,,,,Naproxen Sodium,250 mg,,,0,
Sidopin 5 mg,Eskayef Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Amlodipine Besilate,5 mg,,,0,
Sidobac 500 mg/vial,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,115.00,,115.00,,,,0,,,,,,,Ceftazidime Pentahydrate,500 mg/vial,,,0,
Sidobac 250 mg/vial,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.00,,70.00,,,,0,,,,,,,Ceftazidime Pentahydrate,250 mg/vial,,,0,
Sidobac 1 gm/vial,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,215.00,,215.00,,,,0,,,,,,,Ceftazidime Pentahydrate,1 gm/vial,,,0,
Sicmon 20 mg+20 mg,Navana Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,9.00,,9.00,,,,0,,,,,,,Pyridoxine Hydrochloride + Doxylamine Succinate,20 mg+20 mg,,,0,
Sicmon 10 mg+10 mg,Navana Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Pyridoxine Hydrochloride + Doxylamine Succinate,10 mg+10 mg,,,0,
Sicef DS 250 mg/5 ml,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,70.26,,70.26,,,,0,,,,,,,Cephradine,250 mg/5 ml,,,0,
Sicef 125 mg/1.25 ml,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,45.14,,45.14,,,,0,,,,,,,Cephradine,125 mg/1.25 ml,,,0,
Sicef 125 mg/5 ml,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,80.00,,80.00,,,,0,,,,,,,Cephradine,125 mg/5 ml,,,0,
Sicef 500 mg,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,12.55,,12.55,,,,0,,,,,,,Cephradine,500 mg,,,0,
Sibalyn 1%,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.12,,40.12,,,,0,,,,,,,Silver Sulfadiazine,1%,,,0,
Sharpkil Plus (125 mg+31.25 mg)/5 ml,Apex Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,250.00,,250.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,,,0,
Sharpkil Plus 500 mg+125 mg,Apex Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,,,0,
Sharpkil Plus 250 mg+62.5 mg,Apex Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,,,0,
Sharpkil 500 mg,NIPRO JMI Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,45.00,,45.00,,,,0,,,,,,,Cefuroxime Axetil,500 mg,,,0,
Sharpkil 250 mg,NIPRO JMI Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,25.00,,25.00,,,,0,,,,,,,Cefuroxime Axetil,250 mg,,,0,
Siglimet 50 mg+500 mg,Square Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,14.00,,14.00,,,,0,,,,,,,Sitagliptin + Metformin Hydrochloride,50 mg+500 mg,,,0,
Siflam 400 mg,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1.20,,1.20,,,,0,,,,,,,Ibuprofen,400 mg,,,0,
Sifena 120 mg,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,7.00,,7.00,,,,0,,,,,,,Fexofenadine Hydrochloride,120 mg,,,0,
Sifen TR 100 mg,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.51,,2.51,,,,0,,,,,,,Diclofenac Sodium,100 mg,,,0,
Siesta 3 mg,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Bromazepam,3 mg,,,0,
Sidoplus 5 mg+50 mg,Eskayef Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.00,,6.00,,,,0,,,,,,,Amlodipine Besilate + Atenolol,5 mg+50 mg,,,0,
Sidoplus 5 mg+25 mg,Eskayef Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.25,,5.25,,,,0,,,,,,,Amlodipine Besilate + Atenolol,5 mg+25 mg,,,0,
SGN Plus 50 mg+1000 mg,Pacific Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,28.00,,28.00,,,,0,,,,,,,Sitagliptin + Metformin Hydrochloride,50 mg+1000 mg,,,0,
SGN Plus 50 mg+500 mg,Pacific Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,16.00,,16.00,,,,0,,,,,,,Sitagliptin + Metformin Hydrochloride,50 mg+500 mg,,,0,
SGN 25 mg,Pacific Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Sitagliptin,25 mg,,,0,
SGN 100 mg,Pacific Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,28.00,,28.00,,,,0,,,,,,,Sitagliptin,100 mg,,,0,
SGN 50 mg,Pacific Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Sitagliptin,50 mg,,,0,
SG-Plus,Salton Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,20.64,,20.64,,,,0,,,,,,,Vitamin B complex,,,,0,
Sezol DS 1000 mg,ACI Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,17.05,,17.05,,,,0,,,,,,,Secnidazole,1000 mg,,,0,
Silfenac 100 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Aceclofenac,100 mg,,,0,
Silcream 1%,Jayson Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,14.00,,14.00,,,,0,,,,,,,Silver Sulfadiazine,1%,,,0,
Silcona 150 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,22.00,,22.00,,,,0,,,,,,,Fluconazole,150 mg,,,0,
Silcona 50 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Fluconazole,50 mg,,,0,
Silclog 75 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Clopidogrel Bisulphate,75 mg,,,0,
Silcal-D 500 mg+200 IU,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Calcium Carbonate [Elemental source] + Vitamin D3,500 mg+200 IU,,,0,
Silcal O 740 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Calcium Orotate,740 mg,,,0,
Silcal O 400 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Calcium Orotate,400 mg,,,0,
Silcal 500 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,3.00,,3.00,,,,0,,,,,,,Calcium Carbonate,500 mg,,,0,
Silburn 1%,Pharmadesh Laboratories Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,45.00,,45.00,,,,0,,,,,,,Silver Sulfadiazine,1%,,,0,
Silben 400 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,4.00,,4.00,,,,0,,,,,,,Albendazole,400 mg,,,0,
Silatrol 10 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.50,,2.50,,,,0,,,,,,,Cetirizine Hydrochloride,10 mg,,,0,
Silagra 100 mg,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Sildenafil Citrate,100 mg,,,0,
Silagra 50 mg,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Sildenafil Citrate,50 mg,,,0,
Sigvit,Opso Saline Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,,,0,
Sigtil M 50 mg+1000 mg,The White Horse Pharma,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,22.00,,22.00,,,,0,,,,,,,Sitagliptin + Metformin Hydrochloride,50 mg+1000 mg,,,0,
Silinor 25 mg,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Sitagliptin,25 mg,,,0,
Silgin 50 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.00,,5.00,,,,0,,,,,,,Tiemonium Methylsulphate,50 mg,,,0,
Silflox 500 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,14.00,,14.00,,,,0,,,,,,,Ciprofloxacin,500 mg,,,0,
Silfil 100 mg,Organic Health Care Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.15,,50.15,,,,0,,,,,,,Sildenafil Citrate,100 mg,,,0,
Silfil 50 mg,Organic Health Care Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.10,,30.10,,,,0,,,,,,,Sildenafil Citrate,50 mg,,,0,
Sigtil M 50 mg+500 mg,The White Horse Pharma,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,18.00,,18.00,,,,0,,,,,,,Sitagliptin + Metformin Hydrochloride,50 mg+500 mg,,,0,
Sigtil 100 mg,The White Horse Pharma,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,28.00,,28.00,,,,0,,,,,,,Sitagliptin,100 mg,,,0,
Sigtil 25 mg,The White Horse Pharma,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Sitagliptin,25 mg,,,0,
Sigtil 50 mg,The White Horse Pharma,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Sitagliptin,50 mg,,,0,
Siglita 50 mg,Square Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,13.00,,13.00,,,,0,,,,,,,Sitagliptin,50 mg,,,0,
Siglimet XR 100 mg+1000 mg,Square Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Sitagliptin + Metformin Hydrochloride,100 mg+1000 mg,,,0,
Siglimet XR 50 mg+1000 mg,Square Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,18.00,,18.00,,,,0,,,,,,,Sitagliptin + Metformin Hydrochloride,50 mg+1000 mg,,,0,
Siglimet XR 50 mg+500 mg,Square Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,16.00,,16.00,,,,0,,,,,,,Sitagliptin + Metformin Hydrochloride,50 mg+500 mg,,,0,
Siglimet 50 mg+1000 mg,Square Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,16.00,,16.00,,,,0,,,,,,,Sitagliptin + Metformin Hydrochloride,50 mg+1000 mg,,,0,
Silvage,Orion Pharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,6.04,,6.04,,,,0,,,,,,,Multivitamin & Multimineral [A-Z silver preparation],,,,0,
Silvadazin 1%,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,60.00,,60.00,,,,0,,,,,,,Silver Sulfadiazine,1%,,,0,
Silpol 500 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,0.80,,0.80,,,,0,,,,,,,Paracetamol,500 mg,,,0,
Silpol 120 mg/5 ml,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,20.63,,20.63,,,,0,,,,,,,Paracetamol,120 mg/5 ml,,,0,
Silpa 120 mg/5 ml,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,16.35,,16.35,,,,0,,,,,,,Paracetamol,120 mg/5 ml,,,0,
Silpa 500 mg,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,0.60,,0.60,,,,0,,,,,,,Paracetamol,500 mg,,,0,
Silox 125 mg/5 ml,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,60.22,,60.22,,,,0,,,,,,,Flucloxacillin Sodium,125 mg/5 ml,,,0,
Silox 500 mg,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.04,,10.04,,,,0,,,,,,,Flucloxacillin Sodium,500 mg,,,0,
Silox 250 mg,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,5.77,,5.77,,,,0,,,,,,,Flucloxacillin Sodium,250 mg,,,0,
Silosin 8 mg,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,24.00,,24.00,,,,0,,,,,,,Silodosin,8 mg,,,0,
Silosin 4 mg,Incepta Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,12.00,,12.00,,,,0,,,,,,,Silodosin,4 mg,,,0,
Silora 10 mg,Ibn Sina Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,2.50,,2.50,,,,0,,,,,,,Loratadine,10 mg,,,0,
Siloflo 8 mg,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Silodosin,8 mg,,,0,
Siloflo 4 mg,Aristopharma Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Silodosin,4 mg,,,0,
Silofast 4 mg,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,8.00,,8.00,,,,0,,,,,,,Silodosin,4 mg,,,0,
Silofast 8 mg,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,15.00,,15.00,,,,0,,,,,,,Silodosin,8 mg,,,0,
Simcod,Pharmasia Limited,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,80.00,,80.00,,,,0,,,,,,,Multivitamin & Cod Liver Oil,,,,0,
Silzin 1%,Kemiko Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Silver Sulfadiazine,1%,,,0,
Silverzine 1%,Gaco Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,40.12,,40.12,,,,0,,,,,,,Silver Sulfadiazine,1%,,,0,
Silverpac,Pacific Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,10.00,,10.00,,,,0,,,,,,,Multivitamin & Multimineral [A-Z silver preparation],,,,0,
Silverax 1%,Healthcare Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,57.00,,57.00,,,,0,,,,,,,Silver Sulfadiazine,1%,,,0,
Silvec 1%,Drug International Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,50.00,,50.00,,,,0,,,,,,,Silver Sulfadiazine,1%,,,0,
Silvazin 1%,Chemist Laboratories  Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,30.00,,30.00,,,,0,,,,,,,Silver Sulfadiazine,1%,,,0,
Silmon 10 mg,Silva Pharmaceuticals Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,14.00,,14.00,,,,0,,,,,,,Montelukast Sodium,10 mg,,,0,
Silmet 400 mg,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,1.13,,1.13,,,,0,,,,,,,Metronidazole,400 mg,,,0,
Silmet 200 mg/5 ml,Silco Pharmaceutical Ltd.,pcs,allopathic,,,,1,,,,,exclusive,single,,,,,25.30,,25.30,,,,0,,,,,,,Metronidazole,200 mg/5 ml,,,0,
